market_id,side,title,best_bid,spread,total_liquidity,volume_24h,depth_imbalance,liquidity_concentration,book_depth_levels,has_bonus_points,filled
1,NO,synthetic-market-1,0.6125859199442002,0.0015263570455517836,2173.125049303718,14800.474024704667,0.022795331677818116,0.7590222545586208,15.0,1.0,1
2,NO,synthetic-market-2,0.8574924208726179,0.004535063792219636,16887.71552106858,2228.8849915698474,0.05595119585218891,0.46637611941293666,23.0,0.0,1
3,NO,synthetic-market-3,0.7481171212206741,0.017716508341042096,2123.2790776829056,96048.48387920667,-0.5038955332663632,0.8979282100442463,5.0,1.0,1
4,YES,synthetic-market-4,0.25268647099153263,0.006375979232364426,3299.64442458732,3789.0405041452937,-0.28109536483415654,0.90812013115866,24.0,0.0,1
5,YES,synthetic-market-5,0.32014965642010285,0.001,39559.58133684781,107663.50823926959,-0.3858991035935621,0.6499728256588794,5.0,1.0,1
6,YES,synthetic-market-6,0.8361981008566356,0.009790254100557698,6965.1089384407305,1954.3989327734655,0.40842652157901693,0.39107249098356406,21.0,0.0,0
7,YES,synthetic-market-7,0.05473877410901726,0.001,5545.460088781754,17813.944773765197,-1.0,0.22760004174623047,12.0,0.0,0
8,YES,synthetic-market-8,0.7891055765444895,0.0013608172309048988,57887.35248687566,1703.6897187364893,-0.15449619263737455,0.8223840372174946,10.0,0.0,1
9,NO,synthetic-market-9,0.7673624858768415,0.017223603741616373,7313.610486681265,1417.3546628882236,-0.7472370385089085,0.7439352574822109,20.0,0.0,0
10,YES,synthetic-market-10,0.47114145755934866,0.005473917688859147,2002.6948177944614,9972.802791797869,-0.19425221911107032,0.6600188612467695,10.0,0.0,1
11,YES,synthetic-market-11,0.32272918413738216,0.013682514498502774,11026.87548784697,19551.875205916913,0.38103337638163687,0.09999681892122837,12.0,0.0,0
12,NO,synthetic-market-12,0.300583050890696,0.001,1339.6330220440493,1546.0493668014637,-0.2837750757294334,0.25450703443816214,14.0,1.0,1
13,YES,synthetic-market-13,0.2793826288887121,0.0037190764780996493,17003.052956960157,37774.56182116267,0.062274873970740864,0.26134108416384844,22.0,0.0,0
14,NO,synthetic-market-14,0.4505686752943819,0.001,18519.426400072236,2873.0264936391545,-0.38014866461255736,0.28239167076926186,17.0,0.0,0
15,YES,synthetic-market-15,0.5040934330621579,0.004916275146516163,2616.8979418020695,9610.288257427288,0.8727671732602638,0.7051435309124171,24.0,0.0,0
16,YES,synthetic-market-16,0.5481476168670432,0.008516839626901031,2463.425070840071,13275.99130205549,0.4109383480885773,0.6528549922436535,21.0,0.0,1
17,YES,synthetic-market-17,0.9459502550909533,0.002444122795418339,5967.925679182723,17554.86126860535,0.5072361239182954,0.238224286102085,3.0,0.0,1
18,NO,synthetic-market-18,0.7633957272923777,0.023225735378242077,4991.893955609089,782.7740937487667,-0.5976816459033331,0.658506225404776,20.0,1.0,0
19,YES,synthetic-market-19,0.6099613064970464,0.0021423859242981095,1676.6342184864402,66445.10540528245,-0.49548549184148155,0.7175161922837779,10.0,1.0,1
20,NO,synthetic-market-20,0.9400641329136963,0.00464778828751311,9181.048134337208,16820.119399420557,0.4858908964155524,0.45986747294929453,8.0,1.0,1
21,YES,synthetic-market-21,0.24377782841203904,0.008410924277516236,520.0561227462547,4659.803108689955,-0.08746568135771858,0.18680566278753666,19.0,1.0,1
22,NO,synthetic-market-22,0.1941908304720601,0.001,3052.922464500271,2140.083072896574,-0.11606492306778247,0.3365209751415184,18.0,0.0,1
23,YES,synthetic-market-23,0.6012856438457277,0.0020232664545208755,3151.5981067897865,895.7908970688961,0.15020249053623372,0.07060901484736062,7.0,1.0,0
24,YES,synthetic-market-24,0.08954780716524503,0.0040943956108107004,3638.7951144680437,1380.4293032466378,-0.5648296580768015,0.7261889176275983,10.0,1.0,0
25,YES,synthetic-market-25,0.08211225089623653,0.006328660976103395,6890.826380383201,16455.581882360308,0.34779008532530925,0.570322676899615,2.0,0.0,1
26,YES,synthetic-market-26,0.5133999382442332,0.02364957907486616,1273.0556725390475,5200.992382540987,0.008245783207081539,0.624931654906863,19.0,1.0,0
27,YES,synthetic-market-27,0.46958542279276017,0.021206190516558924,9389.680927184223,1861.2977999386048,0.21565806550062996,0.06550945986067672,5.0,0.0,0
28,YES,synthetic-market-28,0.8754509958735669,0.007350276220416839,4031.245172992463,4084.622308266721,-0.3017763080474656,0.11602260927737403,1.0,0.0,0
29,NO,synthetic-market-29,0.6163036290419094,0.001800739167637805,2403.694666557123,61904.3853964555,0.23095343784566777,0.8643661329806265,7.0,1.0,1
30,YES,synthetic-market-30,0.5127058819395625,0.003976136609041401,1092.7920916954324,5271.776225766398,-0.3171967332520579,0.4745363606090037,21.0,0.0,0
31,NO,synthetic-market-31,0.4971860918541538,0.002677646748947032,1337.5298564415264,3790.3637922736634,0.4294712686070635,0.38028976624407856,13.0,0.0,1
32,NO,synthetic-market-32,0.2727634298245977,0.004174605460657379,7305.313574201156,46900.70041958268,0.5083407841969685,0.2520351549265117,17.0,1.0,1
33,YES,synthetic-market-33,0.060614622988255276,0.001,1702.3517893212986,14771.563110505625,0.4103485282191624,0.48510700335837054,23.0,0.0,1
